Date,Country,Population,Total Tests,Total Cases,Total Deaths,Total Recovered,Serious or Critical,Active Cases
2020-04-18,USA,331161077,3722145,738792,39014,68269,13551,631509
2020-04-18,Brazil,212681838,62985,36722,2361,14026,6634,20335
2020-04-18,India,1381085714,335123,16365,521,2463,,13381
2020-04-18,Russia,145939731,1831892,36793,313,3057,8,33423
2020-04-18,South Africa,59367266,108021,3034,52,903,36,2079
2020-04-18,Mexico,129040268,48365,6875,546,2125,207,4204
2020-04-18,Peru,33007532,135895,14420,348,6684,117,7388
2020-04-18,Chile,19129379,108891,9730,126,4035,360,5569
2020-04-18,Spain,46756303,930230,194416,20043,74797,7371,99576
2020-04-18,UK,67915222,460437,114217,15464,,1559,98409
2020-04-18,Iran,84077062,330137,80868,5031,55987,3513,19850
2020-04-18,Colombia,50925896,59002,3621,166,691,98,2764
2020-04-18,Pakistan,221213683,92548,7638,143,1832,46,5663
2020-04-18,Saudi Arabia,34855542,150000,8274,92,1329,78,6853
2020-04-18,Italy,60454261,1305833,175925,23227,44927,2733,107771
2020-04-18,Bangladesh,164820045,21307,2144,84,66,1,1994
2020-04-18,Turkey,84410984,598933,82329,1890,10453,1894,69986
2020-04-18,Germany,83806150,1728357,143724,4538,85400,2922,53786
2020-04-18,France,65285551,463662,151793,19323,35983,5833,96487
2020-04-18,Argentina,45228960,30942,2839,132,685,127,2022
2020-04-18,Iraq,40288721,53955,1513,82,953,,478
2020-04-18,Canada,37768699,516216,33383,1470,11207,557,20706
2020-04-18,Qatar,2807805,60139,5008,8,510,37,4490
2020-04-18,Indonesia,273753080,39422,6248,535,631,,5082
2020-04-18,Egypt,102479554,55000,3032,224,701,,2107
2020-04-18,Philippines,109694822,56048,6087,397,516,1,5174
2020-04-18,Kazakhstan,18794372,100878,1615,17,377,22,1221
2020-04-18,Ecuador,17663697,30922,9022,456,1008,168,7558
2020-04-18,China,1439323776,,82719,4632,77029,85,1058
2020-04-18,Sweden,10104394,74600,13822,1511,550,1054,11761
2020-04-18,Oman,5115955,,1180,6,176,3,998
