Date,Country,Population,Total Tests,Total Cases,Total Deaths,Total Recovered,Serious or Critical,Active Cases
2020-10-11,USA,331552784,118486898,7991998,219695,5128162,14741,2644141
2020-10-11,India,1383826697,86877242,7119300,109184,6146427,8944,863689
2020-10-11,Brazil,212986866,17900000,5094979,150506,4470165,8318,474308
2020-10-11,Russia,145952340,50781349,1298718,22597,1020442,2300,255679
2020-10-11,Colombia,51035485,4173863,911316,27834,789787,2220,93695
2020-10-11,Spain,46759952,13689776,908937,33059,,1590,
2020-10-11,Argentina,45312730,2225558,894206,23868,721380,4237,148958
2020-10-11,Peru,33100421,4077357,849371,33305,743969,1210,72097
2020-10-11,Mexico,129313982,2084627,814328,83642,591150,2537,139536
2020-10-11,France,65314670,12394558,734974,32683,100828,1448,601463
2020-10-11,South Africa,59518442,4407441,692471,17780,623765,546,50926
2020-10-11,UK,67987176,26987470,603716,42825,,442,
2020-10-11,Iran,84294420,4312514,500075,28544,406389,4482,65142
2020-10-11,Chile,19162518,3693252,481371,13318,453352,791,14701
2020-10-11,Iraq,40471654,2487183,402330,9852,336157,528,56321
2020-10-11,Bangladesh,165151528,2070995,378266,5524,292860,,79882
2020-10-11,Italy,60436357,12564713,354950,36166,239709,420,79075
2020-10-11,Philippines,109989739,4128162,339252,6321,293002,1758,39929
2020-10-11,Saudi Arabia,34965237,7014780,339267,5043,325330,826,8894
2020-10-11,Turkey,84594371,11615715,335533,8837,294357,1411,32339
2020-10-11,Indonesia,274337514,3762808,333449,11844,255027,,66578
2020-10-11,Germany,83860174,18129900,326291,9702,274700,545,41889
2020-10-11,Pakistan,222082317,3857845,318932,6570,303458,483,8904
2020-10-11,Israel,9197590,3963408,290493,1980,228658,824,59855
2020-10-11,Ukraine,43658014,2582768,261034,4972,113507,177,142555
2020-10-11,Canada,37835533,8047974,181864,9613,153219,154,19032
2020-10-11,Netherlands,17145676,2656731,174653,6584,,254,
2020-10-11,Belgium,11603951,3660156,156931,10175,20202,226,126554
2020-10-11,Romania,19200659,2672537,155283,5411,117942,628,31930
2020-10-11,Morocco,37033425,2877502,152404,2605,127407,461,22392
2020-10-11,Ecuador,17717896,466514,147033,12191,128134,360,6708
2020-10-11,Bolivia,11717612,314047,138463,8292,100786,71,29385
2020-10-11,Poland,37834743,3668030,125816,3004,80302,383,42510
2020-10-11,Qatar,2807805,831941,127985,220,124978,56,2787
2020-10-11,Czechia,10714645,1592652,117110,987,54980,408,61143
2020-10-11,Panama,4333725,544735,120313,2491,96164,124,21658
2020-10-11,Dominican Republic,10878547,519366,118477,2173,94084,168,22220
2020-10-11,Kuwait,4288226,782255,111116,658,103268,140,7190
2020-10-11,Nepal,29282543,1176984,107755,636,75804,,31315
2020-10-11,Kazakhstan,18839771,3045439,108757,1746,103980,221,3031
2020-10-11,UAE,9923949,10938083,106229,445,97284,,8500
2020-10-11,Oman,5142297,376700,105890,1038,92840,219,12012
2020-10-11,Egypt,102870387,135000,104516,6052,97688,41,776
2020-10-11,Sweden,10117104,1789328,98451,5894,,25,
2020-10-11,Guatemala,18007652,362858,97715,3384,86582,5,7749
2020-10-11,Japan,126365294,2299045,88912,1627,81824,145,5461
2020-10-11,Costa Rica,5107237,257549,88490,1089,52669,195,34732
2020-10-11,Portugal,10188174,2791429,86664,2080,53187,124,31397
2020-10-11,China,1439323776,160000000,85557,4634,80705,,218
2020-10-11,Ethiopia,115746603,1350633,84295,1287,38316,271,44692
2020-10-11,Honduras,9948563,194516,83146,2504,31931,24,48711
2020-10-11,Belarus,9448434,2073930,83534,896,77220,,5418
2020-10-11,Venezuela,28412814,1988486,83137,697,74664,198,7776
2020-10-11,Bahrain,1717558,1548011,75614,275,71249,57,4090
2020-10-11,Switzerland,8672522,1470894,60368,2088,48400,39,9880
2020-10-11,Moldova,4031274,313288,62151,1461,44357,782,16333
2020-10-11,Uzbekistan,33604858,1377915,61098,505,58069,252,2524
2020-10-11,Nigeria,207544416,553037,60266,1115,51735,7,7416
2020-10-11,Singapore,5863343,3072368,57876,27,57705,1,144
2020-10-11,Armenia,2964822,325894,56451,1020,45824,,9607
2020-10-11,Austria,9020966,1795447,55319,851,43448,96,11020
2020-10-11,Lebanon,6816652,980520,53568,459,23501,176,29608
2020-10-11,Algeria,44071222,,53072,1801,37170,25,14101
2020-10-11,Paraguay,7157126,308443,49675,1077,32090,144,16508
2020-10-11,Kyrgyzstan,6554201,276522,49230,1085,44227,24,3918
2020-10-11,Ghana,31252458,497782,47005,306,46398,12,301
2020-10-11,Palestine,5134106,454633,44299,381,37942,,5976
2020-10-11,Libya,6897460,246617,42712,631,24038,,18043
2020-10-11,Ireland,4953293,1319299,42528,1826,23364,31,17338
2020-10-11,Azerbaijan,10164956,1176720,41982,609,39357,,2016
2020-10-11,Kenya,54098484,591198,41546,766,32000,,8780
2020-10-11,Afghanistan,39170328,114432,39799,1477,33114,93,5208
2020-10-11,Hungary,9653313,825570,37664,954,10848,138,25862
2020-10-11,Serbia,8727252,1194536,34787,763,31536,22,2488
2020-10-11,Denmark,5798003,4357106,32422,669,26380,19,5373
2020-10-11,Tunisia,11853425,276002,32556,478,5032,138,27046
